date,service,type,title,composer,link
2023-11-12,Eucharist,Hymns,580|582|569|565|715,,
2023-11-12,Eucharist,Psalm,46,,
2023-11-12,Eucharist,Anthem,And I saw a new heaven,E Bainton,youtube.com
2023-11-12,Eucharist,Setting,The Mass of the Quiet Hour,G Oldroyd,youtube.com
2023-11-12,Civic Service of Remembrance,Hymns,357|746|576|814,,
2023-11-12,Civic Service of Remembrance,Anthem,And I saw a new heaven,E Bainton,youtube.com
2023-12-17,9 Lessons and Carols,,Good Christian Men Rejoice,arr Philip Ledger,https://www.youtube.com/watch?v=N1gHaU8rDUQ
2023-12-17,9 Lessons and Carols,,The Holly and the Ivy,June Nixon,https://www.youtube.com/watch?v=dvg-bPpVKc0
2023-12-17,9 Lessons and Carols,,The Maji's Dream,James Whitbourn,https://www.youtube.com/watch?v=2ylTc9E7nMs
2023-12-17,9 Lessons and Carols,,Long the Night,arr R. Massey,https://www.youtube.com/watch?v=a8sVMtw8FzY
2023-12-17,9 Lessons and Carols,,Sussex Carol,arr Philip Ledger,https://www.youtube.com/watch?v=yZm2NsZnJHE
2023-12-17,9 Lessons and Carols,,I Saw Three Ships,arr R. Lloyd,https://www.youtube.com/watch?v=ESZwvhrMLRY
2023-12-17,9 Lessons and Carols,,Mary Had a Baby,Malcolm Sargeant,https://www.youtube.com/watch?v=E-MTU2wGzR8
2023-12-17,9 Lessons and Carols,,All Bells In Paradise,John Rutter,https://www.youtube.com/watch?v=P8TyKNycHes
2023-12-17,9 Lessons and Carols,,Ding Dong Merrily on High,arr Mack Wilberg,https://www.youtube.com/watch?v=ZfX_2KiRFnQ
2023-12-17,9 Lessons and Carols,,A Great and Mighty Wonder,arr James Whitbourn,https://www.youtube.com/watch?v=NJ8ieXU-oOw
2023-12-17,9 Lessons and Carols,,Adam lay ybounden,Huw Williams,https://www.youtube.com/watch?v=oFb-wHJ0YYo
2023-12-24,Eucharist,Setting,The Mass of St Cedd,Nardone,
2023-12-24,Eucharist,Anthem,The Angel Gabriel,Pettman,
2023-12-24,Midnight Mass,Setting,The Little Organ Mass,Haydn,
2023-12-24,Midnight Mass,,Hodie,Plainchant,
2023-12-24,Midnight Mass,,Sussex Carol,Ledger,
2023-12-24,Midnight Mass,,All Bells In Paradise,John Rutter,https://www.youtube.com/watch?v=P8TyKNycHes
2023-12-24,Midnight Mass,,Away In A Manger,Kirkpatrick,
2023-12-24,Midnight Mass,,Good Christian Men Rejoice,arr Philip Ledger,https://www.youtube.com/watch?v=N1gHaU8rDUQ
2023-12-24,Midnight Mass,,O Holy Night,,
2023-12-25,Christmas,Setting,The Little Organ Mass,Haydn,
2023-12-25,Christmas,,Coventry Gloria,Jones,
2023-12-25,Christmas,,Hodie,Plainchant,
2023-12-25,Christmas,,In The Bleak Midwinter,Darke,
2023-12-25,Christmas,,See Amid The Winters Snow,,


